bayna/1a/01/0	(определённый артикль).	اَلْـ...
bayna/4a/07b/110	забота	هَمٌّ
bayna/4a/07b/111	ужас	هَوْلٌ
bayna/4a/07b/112	лёгкий	هَيِّنٌ
bayna/4a/07b/113	наставлять	وَعَظَ
bayna/4a/07b/114	обильный	وَفِيرٌ
bayna/4a/07b/115	опекунство	وَلاَيَةٌ
bayna/4a/07b/116	Какой ужас!	يا الهَوْلٌ!
bayna/4a/07b/117	сухой	يَابِسٌ
bayna/4a/07b/118	источник	نُبُوعٌ
bayna/4a/08a/11	известный, знаменитый; знаменитость	مَشْهُورٌ / مَشَاهِيرُ
bayna/4a/08a/12	(он) родился	وُلِدَ
bayna/4a/08a/13	совершеннолетие, зрелость	بُلُوغٌ
bayna/4a/08a/14	специалист	مُتَخَصِّصٌ
bayna/4a/08a/15	учиться, получать образование	تَلَقَّى العُلُومَ
bayna/4a/08a/16	глава, председатель, начальник	رَئِيسٌ / رُؤَسَاءُ
bayna/4a/08a/17	управление научных исследований, фетв, призыва и наставления	إِدَارَةُ البُحُوثِ العِلْمِيَّةِ وَالإِفْتَاءِ وَالدَّعْوَةِ وَالإِرْشَادِ
bayna/4a/08a/18	верховный муфтий	المُفْتِي العَامُّ
bayna/4a/08a/19	возглавление, председательство	رِئَاسَةٌ
bayna/4a/08a/20	учредительное собрание Лиги исламского мира	المَجْلِسُ تَأْسِيسِيٌّ لِرَابِطَةِ العَالَمَ الإِسْلَامِيِّ
bayna/4a/08a/21	высший (мировой) совет по мечетям	المَجْلِسُ الأَعْلَى لِلمَسَاجِدِ
bayna/4a/08a/22	высшее собрание при исламском университете (г. Медина)	المَجْلِسُ الأَعْلَى لِلجَامِعَةِ الإِسْلَامِيَّةِ
bayna/4a/08a/23	член (какого-либо общества)	عُضْوٌ / أَعْضَاءٌ
bayna/4a/08a/24	висеть; зависеть; хвататься; касаться (ب) V	تَعَلَّقَ - يَتَعَلَّقُ
bayna/4a/08a/25	наряжаться; выставлять напоказ свою красоту V	تَبَرَّجَ - يَتَبَرَّجُ
bayna/4a/08a/26	критика, осуждение	نَقْدٌ
bayna/4a/08a/27	критика арабского национализма	نَقْدُ القَوْمِيَّةِ العَرَبِيَّةِ
bayna/4a/08a/28	предостережение	تَحْذِيرٌ
bayna/4a/08a/29	нововведение; рел. ересь	بِدْعَةٌ / بِدَعٌ
bayna/4a/08a/30	господство; власть, правление; строй, режим; постановление, решение, юр. норма	حُكْمٌ / أَحْكَامٌ
bayna/4a/08a/31	пишущий; писатель, журналист	كَاتِبٌ / كٌتَّبٌ
bayna/4a/08a/32	постепенно продвигаться; подниматься по ступеням; соблюдать последовательность; получать ученую степень V	تَدَرَّجَ - يَتَدَرَّجُ
bayna/4a/08a/33	юридический факультет	كُلِّيَّةُ الحُقُوقِ
bayna/4a/08a/34	судебный; юридический	قَضَائِىٌّ
bayna/4a/08a/35	блестящий оратор	خَطِيبٌ مُفَوَّهٌ
bayna/4a/08a/36	научные и культурные труды	جُهُودٌ العِلْمِيَّةُ
bayna/4a/08a/37	(он) известен	عُرِفَ
bayna/4a/08a/38	радиопередача	بَرْنَامَجٌ الإِذَاعِيُّ
bayna/4a/08a/39	телепередача	بَرْنَامَجٌ التِّلْفَازيُّ
bayna/4a/08a/40	СМИ	وَسَائِلُ الإِعْلَامِ
bayna/4a/08a/41	общее ознакомление с религией Ислам	تَعْرِيفٌ عَامٌّ بِدِينِ الإِسْلَامِ
bayna/4a/08a/42	ведение по прямому пути; руководство	هِدَايَةٌ
bayna/4a/08a/43	составленный, сочиненный; сочинение, произведение	مُؤَلَّفٌ / مُؤَلَّفَاتٌ
bayna/4a/08a/44	многочисленный; численность	عَديِدٌ
bayna/4a/08a/45	мысль, идея, понятие	خَاطِرٌ / خَوَاطِرُ
bayna/4a/08a/46	исследование; научная статья	مَبْحَثٌ / مَبَاحِثُ
bayna/4a/08a/47	улучшение, исправление; реформа	إِصْلاَحٌ
bayna/4a/08a/48	воспоминание; память	ذِكْرَى / ذِكْرَيَاتٌ
bayna/4a/08a/49	исламский проповедник	دَاعِيَةٌ إِسْلَامِيُّ
bayna/4a/08a/50	конференция	مُؤْتَمَرٌ
bayna/4a/08a/51	региональный; провинциальный	إِقْلِيمِيٌّ
bayna/4a/08a/52	лекция (публичная)	مُحَاضَرَةٌ
bayna/4a/08a/53	диспут, спор, дискуссия; мед. осмотр	مُنَاظَرَةٌ
bayna/4a/08a/54	враг, противник, соперник	خَصْمٌ / خُصُومٌ
bayna/4a/08a/55	завязывать, связывать; заключать договор; проводить собрание, съезд;	عَقَدَ - يَعْقِدُ
bayna/4a/08a/56	книжечка, книжонка (брошюрка)	كُتَيِّبٌ
bayna/4a/08a/57	обнародованный; приказ, манифест, листовка	مَنْسُورٌ
bayna/4a/08a/58	возвращать назад; отражать; отталкивать; опровергать	رَدَّ - يَرُدُّ
bayna/4a/08a/59	опровергать	دَحَضَ - يَدْحَضُ
bayna/4a/08a/60	претензии, притязания	مَزَاعِمُ
bayna/4a/08a/61	возрождение, оживление	إِنْتِعَاشٌ
bayna/4a/08a/62	суеверие, предрассудок; басня, легенда; вздор	خُرَافَةٌ
bayna/4a/08a/63	камень	حَجَرٌ
bayna/4a/08a/64	удалять, устранять; сдвигать, смещать lV	أَزَاحَ - يُزَاحُ
bayna/4a/08a/65	книга, писание	سِفْرٌ / أَسْفَارٌ
bayna/4a/08b/11	болеть	اُبْتُلِىَ
bayna/4a/08b/12	избегать	اِجْتَنَبَ
bayna/4a/08b/13	плата	أُجْرَةٌ
bayna/4a/08b/14	давать отсрочку	أَخَّرَ
bayna/4a/08b/15	обнародование	إِذَاعَةٌ
bayna/4a/08b/16	связь	إِرْتِبَاطٌ
bayna/4a/08b/17	сталкиваться	اِرْتَطَمَ
bayna/4a/08b/18	искоренять	اِسْتَأْصَلَ
bayna/4a/08b/19	побробно рассказывать	اِسْتَرْسَلَ
bayna/4a/08b/20	настаивать	أَصَرَّ
bayna/4a/08b/21	рама шина	إِطَارٌ
bayna/4a/08b/22	гасить отключить	أَطْفَأَ
bayna/4a/08b/23	смотреть	أَطْلَعَ
bayna/4a/08b/24	объявлять	أَعْلَنَ
bayna/4a/08b/25	подходить	أَقْبَلَ
bayna/4a/08b/26	настойчивость	إِلْحَاحٌ
bayna/4a/08b/27	обеспечивать	أَمَّنَ
bayna/4a/08b/28	женщина	أُنْثَى (إِنَاثٌ)
bayna/4a/08b/29	радость	اِنْشِرَاحٌ
bayna/4a/08b/30	разрыв	اِنْفِصَامٌ
bayna/4a/08b/31	доставка	إِيصَالٌ
bayna/4a/08b/32	спешить	بَادَر إِلَى
bayna/4a/08b/33	казаться	بَدَا (у)
bayna/4a/08b/34	простой	بَسِيطٌ
bayna/4a/08b/35	обеспечение	تَأْمِينٌ
bayna/4a/08b/36	чтение	تَرْتِيلٌ
bayna/4a/08b/37	применение; практика	تَطْبِيقٌ
bayna/4a/08b/38	разлучаться	تَفَارَقَ
bayna/4a/08b/39	предоставление	تَقْدِيمٌ
bayna/4a/08b/40	полностью	تَمَامًا
bayna/4a/08b/41	испускать тяжёлые вздохи	تَنَهَّدَ
bayna/4a/08b/42	похлебка	ثَرِيدَةٌ
bayna/4a/08b/43	восхваление	ثَنَاءٌ
bayna/4a/08b/44	говорить публично	جَاهَرَ بِ
bayna/4a/08b/45	рана	جِرَاحَةٌ (ات)
bayna/4a/08b/46	зародыш	(جَنِينٌ (أَجِنَّةٌ
bayna/4a/08b/47	утомлять	جَهَدَ (а)
bayna/4a/08b/48	решительный	حَازِمٌ
bayna/4a/08b/49	торжество	(حَفْلَةٌ (ات
bayna/4a/08b/50	наступать	حَلَّ (и)
bayna/4a/08b/51	клясться	حَلَفَ (и)
bayna/4a/08b/52	превращать	حَوَّلَ
bayna/4a/08b/53	пустой	خَالٍ
bayna/4a/08b/54	вешь	(خَصْلَةٌ (خِصَالٌ
bayna/4a/08b/55	пустой	(خُمْصَانٌ (خِمَاصٌ
bayna/4a/08b/56	двигаться	دَبَّ (и)
bayna/4a/08b/57	приближаться	دَنَا (у)
bayna/4a/08b/58	какой-то мужчина	ذَاتُ الرَّجُلِ
bayna/4a/08b/59	потомство	ذُرِّيَّةٌ
bayna/4a/08b/60	живой	ذُو كَبِدٍ رَطِبٍ
bayna/4a/08b/61	превосходный	رَائِعٌ
bayna/4a/08b/62	матка	(رَحِمٌ (أَرْحَامٌ
bayna/4a/08b/63	свежий; сырой	رَطِبٌ
bayna/4a/08b/64	заботиться	رَعَى (а) يَرْعَى
bayna/4a/08b/65	сдерживающий	زَاجِرٌ
bayna/4a/08b/66	ангелы ада	الزَّبَانِيَةُ
bayna/4a/08b/67	лампа	سِرَاجٌ
bayna/4a/08b/68	сокровенная мысль	(سَرِيرَةٌ (سَرَائِرُ
bayna/4a/08b/69	выделка; дело	صُنْعٌ
bayna/4a/08b/70	применять	طَبَّقَ
bayna/4a/08b/71	свёртывать	طَوَى (и)
bayna/4a/08b/72	иметь недостаток	عَابَ (и)
bayna/4a/08b/73	непостоянный	عَارِضٌ
bayna/4a/08b/74	старуха	(عَجُوزٌ (عَجَائِزُ
bayna/4a/08b/75	свадьба	(عُرْسٌ (أَعْرَاسٌ
bayna/4a/08b/76	предлагать	عَرَضَ (и) عَلَى
bayna/4a/08b/77	затруднять	عَسَّرَ
bayna/4a/08b/78	гнездо	(عُشٌّ (أَعْشَاشٌ
bayna/4a/08b/79	не повиноваться	عَصَى (и)
bayna/4a/08b/80	лечение	عِلَاجٌ
bayna/4a/08b/81	операция	عَمَلِيَّةٌ
bayna/4a/08b/82	ребёнок	(عَيِّلٌ (عِيَالٌ
bayna/4a/08b/83	испугаться	فَزِعَ (а)
bayna/4a/08b/84	накормить постящегося	فَطَّرَ
bayna/4a/08b/85	понимать	فَطِنَ (а)
bayna/4a/08b/86	рост	قَامَةٌ
bayna/4a/08b/87	схватывать	قَبَضَ (и)
bayna/4a/08b/88	близкий	(قَرِيبٌ (أَقْرِبَاءٌ
bayna/4a/08b/89	быть небрежным	قَصَّرَ
bayna/4a/08b/90	куропатка	قَطَاةٌ
bayna/4a/08b/91	довольство; убеждённость	قَنَاعَةٌ
bayna/4a/08b/92	труд	كَدْحٌ
bayna/4a/08b/93	химический; химик	كِيمَاوِيٌّ
bayna/4a/08b/94	не разлучаться	لَزِمَ (а)
bayna/4a/08b/95	прекрасный	لَطِيفٌ
bayna/4a/08b/96	трогать, касаться	لَمَسَ (и)
bayna/4a/08b/97	произносить	لَهِجَ (а) بِ
bayna/4a/08b/98	тон, акцент	لَهْجَةٌ
bayna/4a/08b/99	соседний	مُجَاوِرٌ
bayna/4a/08b/100	слава	مَجْدٌ
bayna/4a/08b/101	диктор	مُذِيعٌ
bayna/4a/08b/102	сопровождающий	مُرَافِقٌ
bayna/4a/08b/103	спасательный	مُسْتَنْقِذٌ
bayna/4a/08b/104	скрытый; честный	مَسْتُورٌ
bayna/4a/08b/105	расточительный	مُسْرِفٌ
bayna/4a/08b/106	трудности	مَصَاعِبُ
bayna/4a/08b/107	обсолютный	مُطْلَقٌ
bayna/4a/08b/108	ослушание	(مَعْصِيَّةٌ (مَعَاصٍ
bayna/4b/09a/11	миссия Мухаммада (ﷺ)	المَبْعَثُ
bayna/4b/09a/12	священный поход	غَزْوَةٌ
bayna/4b/09a/13	идти ночью, путешествовать ночью lV	أَسْرَى
bayna/4b/09a/14	принимать, получать; встречать V	تَقَبَّلَ - يَتَقَبَّلُ
bayna/4b/09a/15	разделение труда	تَقْسِيمُ العَمَلِ
bayna/4b/09a/16	современные технологии	التِّقَانَةُ الحَدِيثَةُ
bayna/4b/09a/17	развитый, передовой, прогрессирующий	مُتَقَدِّمٌ
bayna/4b/09a/18	конец, край; окраина; анат. конечность	طَرَفٌ / أَطْرَافٌ
bayna/4b/09a/19	давать (урожай); производить продукцию lV	أَنْتَجَ - يُنْتِجُ
bayna/4b/09a/20	производство, выработка, продукция	إِنْتَاجٌ
bayna/4b/09a/21	воздействие, влияние	تَأْثِيرٌ
bayna/4b/09a/22	отрицательный, негативный; пассивный	سَلْبِىّْ
bayna/4b/09a/23	сущность; личность, индивидуальность	هُوِيَّةٌ
bayna/4b/09a/24	самобытность культуры, культурное своеобразие	هُوِيَّةٌ ثَقَافِيَّةٌ
bayna/4b/09a/25	очарованный, безумный	مَفْتُونٌ
bayna/4b/09a/26	готовый, предрасположенный (ل)	مُسْتَعِدٌّ
bayna/4b/09a/27	использование, эксплуатация	إِسْتِغْلاَلٌ
bayna/4b/09a/28	умножение, увеличение; накопление, сбор; наличие	تَوْفِيرٌ
bayna/4b/09a/29	хранение	تَخْزِينٌ
bayna/4b/09a/30	не желающий, делающий что-либо против воли	كَارِهٌ
bayna/4b/09a/31	политический; политик, государственный деятель	سِيَاسِىٌّ
bayna/4b/09a/32	общественный, социальный	إِجْتِمَاعِىٌّ
bayna/4b/09a/33	демократия	دِيمُوقْرَاطِيَّةٌ
bayna/4b/09a/34	малый, незначительный; легкий	يَسِيرٌ
bayna/4b/09a/35	материальный продукт (продукция)	نِتَاجٌ المَادِّيُّ
bayna/4b/09a/36	отсталость; отсутствие	تَخَلُّفٌ
bayna/4b/09a/37	предмет насмешек, посмешище; шутовство; маскарад	مَسْخَرَةٌ / مَسَاخِرُ
bayna/4b/09a/38	неприязнь, антипатия	كَرَاهِيّةٌ
bayna/4b/09a/39	иностранные инвестиции	الاِسْتِثْمَارَاتُ الأَجْنَبِيُّ
bayna/4b/09a/40	дешевый труд	العَمَالَةُ الرَّخِيصَةُ
bayna/4b/09a/41	рост, развитие	نُمُوٌّ
bayna/4b/09a/42	потребитель	مُسْتَهْلِكٌ
bayna/4b/09a/43	производящий; производитель	مُنْتِجٌ
bayna/4b/09a/44	терпеть, переносить, страдать lll	عَانَى - يُعَانِي
bayna/4b/09a/45	капитал	رَأْسْمَالٌ
bayna/4b/09a/46	капиталистический; капиталист	رَأْسْمَالِىٌّ
bayna/4b/09a/47	импортируемый	مُسْتَوْرَدٌ
bayna/4b/09a/48	достижение, завоевание	إِنْجَازٌ
bayna/4b/09a/49	товар; предмет торговли	سِلْعَةٌ / سِلَعٌ
bayna/4b/09a/50	защита, охрана, покровительство; находящийся под покровительством	حِمَايَةٌ
bayna/4b/09a/51	зрение; взор, взгляд; понимание, соображение	نَظَرٌ / أَنْظَارٌ
bayna/4b/09a/52	скрываться; стать неузнаваемым; противоречить V	تَنَكَّرَ - يَتَنَكَّرُ
bayna/4b/09a/53	скрывание, переодевание, маскировка; противоречие	تَنَكُّرٌ
bayna/4b/09a/54	гражданский, светский; светский человек	عَلْمَانِىٌّ
bayna/4b/09a/55	светскость; секуляризм	عَلْمَانِيَّةٌ
bayna/4b/09a/56	угрожать, грозить (ب) ll	هَدَّدَ - يُهَدِّدُ
bayna/4b/09a/57	угроза	تَهْدِيدٌ
bayna/4b/09a/58	грозить; находиться под угрозой V	تَهَدَّدَ - يَتَهَدَّدُ
bayna/4b/09a/59	угрожающий	مُهَدِّدٌ
bayna/4b/09a/60	гражданская война	غَزْوٌ عَلْمَانِيٌّ
bayna/4b/09a/61	вера, убеждение, воззрение; доктрина	عَقِيدَةٌ / عَقَائِدُ
bayna/4b/09a/62	заключать, содержать в себе V	تَضَمَّنَ - يَتَضَمَّنُ
bayna/4b/09a/63	независимость, самостоятельность	إِسْتِقْلاَلٌ
bayna/4b/09a/64	подъем, возрождение	نَهْضَةٌ
bayna/4b/09a/65	всеобъемлющий, универсальный, полный	شَامِلٌ
bayna/4b/09a/66	отвергнутый, отклоненный	مَرْفُوضٌ
bayna/4b/09a/67	поддерживающий, сочувствующий	مُوَّيِّدٌ
bayna/4b/09a/68	нет в этом сомнений; бесспорно, несомненно	بِدُونِ شَكٍّ / لاَ شَكَّ فِيهِ
bayna/4b/09a/69	изображать, олицетворять, воплощать, демонстрировать ll	مَثَّلَ - يُمَثِّلُ
bayna/4b/09a/70	художественный, артистический; технический; техник, артист, специалист	فَنِّىٌّ
bayna/4b/09a/71	господство, власть, управление	سَيْطَرَةٌ
bayna/4b/09a/72	слабеть, ослабевать; умалять, не придавать значения X	إِسْتَضْعَفَ - يَسْتَضْعِفُ
bayna/4b/09a/73	питать враждебные чувства, враждовать; бороться lll	عَادَى - يُعَادِي
bayna/4b/09a/74	соперничество	تَنَافُسٌ
bayna/4b/09a/75	борьба	صِرَاعٌ
bayna/4b/09a/76	принцип, кредо	مُعْتَقَدٌ / مُعْتَقَدَاتٌ
bayna/4b/09a/77	стиль (образ) жизни	نَمَطُ الحَيَاةٍ
bayna/4b/09a/78	господствующий, преобладающий; глава	سَائِدٌ / سَادَة
bayna/4b/09b/11	отважно бросаться	اِقْتَحَمَ
bayna/4b/09b/12	плешивый, лысый	أَقْرَعُ
bayna/4b/09b/13	слепой	أَكْمَهُ
bayna/4b/09b/14	(о беде) постигать	أَلَمَّ
bayna/4b/09b/15	отказываться	اِمْتَنَعَ
bayna/4b/09b/16	держать	أَمْسَكَ
bayna/4b/09b/17	давать приплод	أَنْتَجَ
bayna/4b/09b/18	спасать	أَنْجَى
bayna/4b/09b/19	скатываться	اِنْحَدَرَ
bayna/4b/09b/20	расходиться	اِنْفَرَجَ
bayna/4b/09b/21	быть отрезанным	اِنْقَطَعَ
bayna/4b/09b/22	опрокидываться	اِنْكَفَأَ
bayna/4b/09b/23	прибегать	أَوَى (и)
bayna/4b/09b/24	блистать , сиять	بَرِقَ (а)
bayna/4b/09b/25	зрение	بَصَرٌ
bayna/4b/09b/26	верблюд	بَعِيرٌ
bayna/4b/09b/27	достаточность	بَلَاغٌ
bayna/4b/09b/28	довольствоваться	تَبَلَّغَ
bayna/4b/09b/29	чувствовать неловкость	تَحَرَّجَ
bayna/4b/09b/30	отказываться	تَقَاعَسَ
bayna/4b/09b/31	занимать середину	تَوَسَّطَ
bayna/4b/09b/32	заставлять плодоносить	ثَمَّرَ
bayna/4b/09b/33	ствол	جِذْعٌ
bayna/4b/09b/34	собеседник	جَلِيسٌ
bayna/4b/09b/35	напрягать	جَهَدَ (а)
bayna/4b/09b/36	беременная	حَامِلٌ
bayna/4b/09b/37	держать	حَبَسَ (и)
bayna/4b/09b/38	верёвка	(حَبْلٌ (حِبَالٌ
bayna/4b/09b/39	остерегаться	حَذِرَ (а)
bayna/4b/09b/40	доить	حَلَبَ (и)
bayna/4b/09b/41	печать	خَاتَمٌ
bayna/4b/09b/42	бороздить	خَدَّ (у)
bayna/4b/09b/43	бояться	خَشِيَ (а)
bayna/4b/09b/44	позволять	خَلَّى بَيْنَهُ وَ بَيْنَ
bayna/4b/09b/45	болезнь	(دَاءٌ (أَدْوَاءٌ
bayna/4b/09b/46	животное	دَابَّةٌ
bayna/4b/09b/47	лечить	دَاوَى
bayna/4b/09b/48	указывать	دَلَّ (у)
bayna/4b/09b/49	вершина	ذُرْوَةٌ
bayna/4b/09b/50	возвращаться вечером	رَاحَ (у)
bayna/4b/09b/51	монах	رَاهِبٌ
bayna/4b/09b/52	дрожать	رَجَفَ (и)
bayna/4b/09b/53	раб	رَقِيقٌ
bayna/4b/09b/54	группа	رَهْطٌ
bayna/4b/09b/55	колдун	سَاحِرٌ
bayna/4b/09b/56	ненавидеть	سَخِطَ (а)
bayna/4b/09b/57	преграждать	سَدَّ (у)
bayna/4b/09b/58	падать	سَقَطَ (у)
bayna/4b/09b/59	дорога; путь	(سِكَّةٌ (سِكَكٌ
bayna/4b/09b/60	идти по пути	سَلَكَ (у)
bayna/4b/09b/61	стрела	سَهْمٌ
bayna/4b/09b/62	овца	شَاةٌ
bayna/4b/09b/63	рассекать	شَقَّ (у)
bayna/4b/09b/64	половина	شِقٌّ
bayna/4b/09b/65	висок	صُدْغٌ
bayna/4b/09b/66	подниматься	صَعِدَ (а)
bayna/4b/09b/67	земля	صَعِيدٌ
bayna/4b/09b/68	распинать	صَلَبَ (и)
bayna/4b/09b/69	превращать	صَيَّرَ
bayna/4b/09b/70	бросать	طَرَحَ (а)
bayna/4b/09b/71	на 10-ом месяце беременности	عُشَرَاءُ
bayna/4b/09b/72	ослепнуть	عَمِيَ (а)
bayna/4b/09b/73	напоить	غَبَقَ (и)
bayna/4b/09b/74	(вечером) напиток	غَبُوقٌ
bayna/4b/09b/75	тонуть	غَرِقَ (а)
bayna/4b/09b/76	юноша	غُلَامٌ
bayna/4b/09b/77	избавлять	فَرَّجَ
bayna/4b/09b/78	распечатывать	فَضَّ (у)
bayna/4b/09b/79	стакан	قَدَحٌ
bayna/4b/09b/80	быть грязным	قَذِرَ (а)
bayna/4b/09b/81	грязь	قَذَرٌ
bayna/4b/09b/82	бросать	قَذَفَ (и)
bayna/4b/09b/83	длинный корабль	قُرْقُورٌ
bayna/4b/09b/84	лук; дуга	قَوْسٌ
bayna/4b/09b/85	старший	كَابِرٌ
bayna/4b/09b/86	центр	كَبِدٌ
bayna/4b/09b/87	избавлять	كَفَى (и)
bayna/4b/09b/88	колчан	كِنَانَةٌ
bayna/4b/09b/89	оставаться	لَبِثَ (а)
bayna/4b/09b/90	ночлег	مَبِيتٌ
bayna/4b/09b/91	тереть	مَسَحَ (а)
bayna/4b/09b/92	уходить	مَضَى (и)
bayna/4b/09b/93	перекрёсток	مِفْرَقٌ
bayna/4b/09b/94	пила	مِنْشَارٌ
bayna/4b/09b/95	огонь	(نَارٌ (نِيرَانٌ
bayna/4b/09b/96	верблюдица	نَاقَةٌ
bayna/4b/09b/97	удалять	نَأَى بِ (а)
bayna/4b/09b/98	группа	نَفَرٌ
bayna/4b/09b/99	долина	وَادٍ
bayna/4b/09b/100	рождающий	وَالِدٌ
bayna/4b/09b/101	наследовать	وَرِثَ (и)
bayna/4b/09b/102	падение	وُقُوعٌ
bayna/4b/09b/103	приносить приплод	وَلَدَ (и)
bayna/4b/10a/11	искать убежища, приюта; укрываться, поселяться	أَوَى - يَأْوِي
bayna/4b/10a/12	надевать на себя, быть одетым, носить (одежду) Vlll	إِرْتَدَى - يَرْتَدِي
bayna/4b/10a/13	рел. осквернившийся	جُنُبٌ
bayna/4b/10a/14	скрытый; сокровенная тайна, скрытый смысл	مَكْنُونٌ / مَكْنُونَاتٌ
bayna/4b/10a/15	трогать, прикасаться; задевать, оскорблять; затрагивать (ب)	مَسَّ - يَمَسُّ
bayna/4b/10a/16	побуждение	حَثٌّ
bayna/4b/10a/17	сивак; зубочистка	سِوَاكٌ
bayna/4b/10a/18	рот	فَمٌ / أَفْمَامٌ
bayna/4b/10a/19	пробивать, рассекать, прорезываться (о зубе); быть тяжелым, тягостным (على)	شَقَّ - يَشُقُّ
bayna/4b/10a/20	употребление, использование, применение	إِسْتِعْمَالٌ
bayna/4b/10a/21	милость, угождение	مَرْضَاةٌ
bayna/4b/10a/22	паста, мастика, замазка	مَعْجُونٌ / مَعَاجِينُ
bayna/4b/10a/23	чистка, уборка	تَنْظِيفٌ
bayna/4b/10a/24	утверждать, доказывать, устанавливать; фиксировать lV	أَثْبَتَ - يُثْبِتُ
bayna/4b/10a/25	современная медицина	الطِّبُّ الحَدِيثُ
bayna/4b/10a/26	материя, вещество; масса; гной	مَادَّةٌ / مَوَادُّ
bayna/4b/10a/27	очищающее вещество	مَادَّةٌ مُطَهِّرَةٌ
bayna/4b/10a/28	волосы	شَعْرٌ / شُعُورٌ
bayna/4b/10a/29	подмышка	إِبْطٌ / آبَاطٌ
bayna/4b/10a/30	всклокоченный, растрёпанный (о волосах); находящийся в беспорядке	شَعِثٌ
bayna/4b/10a/31	обычай, практика; предание; закон	سُنَّةٌ / سُنَنٌ
bayna/4b/10a/32	природа; врожденное качество, характер	فِطْرَةٌ / فِطَرٌ
bayna/4b/10a/33	устранение, уничтожение	إِزَالَةٌ
bayna/4b/10a/34	излишек	زَائِدَةٌ / زَوَائِدُ
bayna/4b/10a/35	собирать в большом количестве, накапливать; коллекционировать ll	جَمَّعَ - يُجَمِّعُ
bayna/4b/10a/36	сбривание волос (на лобке)	إِسْتِحْدَادٌ
bayna/4b/10a/37	обрезание	خِتَانٌ
bayna/4b/10a/38	укорачивание усов	قَصُّ الشَّارِبِ
bayna/4b/10a/39	выщипывание волос под мышками	نَتْفُ الإِبِطِ
bayna/4b/10a/40	подстригание ногтей	تَقْلِيمُ الأَظَافِرِ
bayna/4b/10a/41	необходимость, придержанность, долг; обязательство, контракт	إِلْتِزَامٌ
bayna/4b/10a/42	избегать, избавляться, отделываться (من) V	تَخَلَّصَ - يَتَخَلَّصُ
bayna/4b/10a/43	части тела	الأجْزَاءٌ مِنْ الجِسْمِ
bayna/4b/10a/44	предупреждение, предохранение, профилактика; защита, охрана	وِقَايَةٌ
bayna/4b/10a/45	являющийся причиной чего-либо; виновник, зачинщик	مُسَبِّبٌ
bayna/4b/10a/46	запах	رَائِحَةٌ / رَوَائِحُ
bayna/4b/10a/47	неприятные запахи	الرَّوَائِحُ الكَرِيهَةُ
bayna/4b/10a/48	вкус; такт, деликатность	ذَوْقٌ / أَذْوَاقٌ
bayna/4b/10a/49	мусор (собир.)	قُمَامَةٌ
bayna/4b/10a/50	остаток; отходы	فَضْلَةٌ / فَضَلاَتٌ
bayna/4b/10a/51	пачкание, загрязнение	تَلْوِيثٌ
bayna/4b/10a/52	отрасль, ветвь, ответвление	شُعْبَةٌ / شُعَبٌ
bayna/4b/10a/53	вредить, мучить, обижать lV	آذَى - يُأْذِي
bayna/4b/10a/54	обвинение, осуждение, приговор; виновность	إِدَانَةٌ
bayna/4b/10a/55	стыд, застенчивость, скромность	حَيَاءٌ
bayna/4b/10a/56	тень, сень; оттенок	ظِلٌّْ / ظِلاَلٌ
bayna/4b/10b/11	спрашивается	تُرَى
bayna/4b/10b/12	скрываться	تَسَتَّرَ
bayna/4b/10b/13	название	تَسْمِيَّةٌ
bayna/4b/10b/14	предстовлять себе	تَصَوَّرَ
bayna/4b/10b/15	почтительный страх	تَهَيُّبٌ
bayna/4b/10b/16	сильно желающий	تَوَّاقٌ
bayna/4b/10b/17	стена	جِدَارٌ
bayna/4b/10b/18	собеседник	(جَلِيسٌ ( جُلَسَاءٌ
bayna/4b/10b/19	драгоценность	(جَوْهَرٌ (جَوَاهِرُ
bayna/4b/10b/20	квартал	حَارَةٌ
bayna/4b/10b/21	падать ниц	خَرَّ (и)
bayna/4b/10b/22	грубый	خَشِنٌ
bayna/4b/10b/23	вооброжение	خَيَالٌ
bayna/4b/10b/24	разочарование	خَيْبَةٌ
bayna/4b/10b/25	повод, причина	(دَافِعٌ (دَوَافِعُ
bayna/4b/10b/26	близкий	دَانٍ
bayna/4b/10b/27	быть изумленным	دُهِشَ
bayna/4b/10b/28	удивление	دَهْشَةٌ
bayna/4b/10b/29	черви	دُورٌ
bayna/4b/10b/30	пробовать на вкус	ذَاقَ (у)
bayna/4b/10b/31	образцовое произведение	(رَائِعَةٌ (رَوَائِعُ
bayna/4b/10b/32	беда	(رُزْءٌ (أَرْزَاءٌ
bayna/4b/10b/33	доход	رَيْعٌ
bayna/4b/10b/34	распускать	سَرَّحَ
bayna/4b/10b/35	обширность	سَعَةٌ
bayna/4b/10b/36	утешать	سَلَّى
bayna/4b/10b/37	госпожа	سَيِّدَةٌ
bayna/4b/10b/38	отправлять	سَيَّرَ
bayna/4b/10b/39	рыдать; стонать	شَهِقَ (а)
bayna/4b/10b/40	делающий	صَانِعٌ
bayna/4b/10b/41	лить	صَبَّ (у)
bayna/4b/10b/42	очнуться	صَحَا (у)
bayna/4b/10b/43	быть раздражённым	ضَجِرَ (а)
bayna/4b/10b/44	теснота	ضِيقٌ
bayna/4b/10b/45	узкий	ضَيِّقٌ
bayna/4b/10b/46	конец, край	طَرَفٌ
bayna/4b/10b/47	(глина) рабочий	طَيَّانٌ
bayna/4b/10b/48	глина	طِينٌ
